time,task,metric,features,preproc,algo,params,train_score,test_score
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 3, ""gb__n_estimators"": 20}",-0.4069644355577928,-0.4070591856992851
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 3, ""gb__n_estimators"": 50}",-0.4060862386682146,-0.40620483699805954
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 3, ""gb__n_estimators"": 100}",-0.4046388255584882,-0.40479744237047094
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 3, ""gb__n_estimators"": 300}",-0.39898288257850917,-0.39930195069897767
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 5, ""gb__n_estimators"": 20}",-0.406863793738894,-0.40696499988136575
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 5, ""gb__n_estimators"": 50}",-0.4058344142984177,-0.4059795155773518
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 5, ""gb__n_estimators"": 100}",-0.40413064673794946,-0.40434610792289377
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 5, ""gb__n_estimators"": 300}",-0.39747839410002533,-0.39795994490880615
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 10, ""gb__n_estimators"": 20}",-0.4067653745520524,-0.4069369036629643
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.0001, ""gb__max_depth"": 10, ""gb__n_estimators"": 50}",-0.405589087476368,-0.40589717398129144
